size,time_ms
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0
2900,0
3000,0
3100,0
3200,0
3300,0
3400,0
3500,0
3600,0
3700,0
3800,0
3900,0
4000,0
4100,0
4200,0
4300,0
4400,0
4500,0
4600,0
4700,0
4800,0
4900,0
5000,0
5100,0
5200,0
5300,0
5400,0
5500,0
5600,0
5700,0
5800,0
5900,0
6000,0
6100,0
6200,0
6300,0
6400,1
6500,1
6600,1
6700,1
6800,1
6900,1
7000,1
7100,1
7200,1
7300,1
7400,1
7500,1
7600,1
7700,1
7800,1
7900,1
8000,1
8100,1
8200,1
8300,1
8400,1
8500,1
8600,1
8700,1
8800,1
8900,1
9000,1
9100,1
9200,1
9300,1
9400,1
9500,1
9600,1
9700,1
9800,1
9900,1
10000,1
10100,1
10200,1
10300,1
10400,1
10500,1
10600,1
10700,1
10800,1
10900,1
11000,1
11100,1
11200,1
11300,1
11400,1
11500,2
11600,2
11700,2
11800,2
11900,2
12000,2
12100,2
12200,2
12300,2
12400,2
12500,2
12600,2
12700,2
12800,2
12900,2
13000,2
13100,2
13200,2
13300,2
13400,2
13500,4
13600,2
13700,2
13800,2
13900,2
14000,2
14100,2
14200,2
14300,2
14400,2
14500,2
14600,2
14700,2
14800,2
14900,2
15000,2
15100,2
15200,2
15300,2
15400,2
15500,2
15600,2
15700,2
15800,2
15900,2
16000,2
16100,2
16200,2
16300,2
16400,2
16500,2
16600,2
16700,2
16800,2
16900,2
17000,2
17100,2
17200,2
17300,2
17400,2
17500,2
17600,2
17700,2
17800,2
17900,3
18000,3
18100,3
18200,3
18300,3
18400,3
18500,3
18600,3
18700,3
18800,3
18900,3
19000,3
19100,3
19200,3
19300,3
19400,3
19500,3
19600,3
19700,3
19800,5
19900,3
20000,3
20100,3
20200,3
20300,3
20400,3
20500,3
20600,3
20700,3
20800,3
20900,3
21000,3
21100,3
21200,3
21300,3
21400,3
21500,3
21600,3
21700,3
21800,3
21900,3
22000,4
22100,4
22200,4
22300,4
22400,4
22500,4
22600,4
22700,4
22800,4
22900,4
23000,4
23100,4
23200,4
23300,4
23400,4
23500,4
23600,4
23700,4
23800,4
23900,4
24000,4
24100,4
24200,4
24300,4
24400,4
24500,4
24600,4
24700,4
24800,5
24900,5
25000,4
25100,4
25200,4
25300,4
25400,4
25500,4
25600,4
25700,4
25800,4
25900,4
26000,4
26100,4
26200,4
26300,4
26400,4
26500,4
26600,4
26700,4
26800,4
26900,4
27000,4
27100,5
27200,5
27300,5
27400,5
27500,5
27600,5
27700,5
27800,5
27900,5
28000,5
28100,5
28200,5
28300,5
28400,6
28500,6
28600,5
28700,5
28800,5
28900,5
29000,5
29100,5
29200,5
29300,5
29400,5
29500,5
29600,5
29700,5
29800,5
29900,5
30000,5
30100,5
30200,5
30300,5
30400,5
30500,5
30600,5
30700,5
30800,5
30900,5
31000,5
31100,5
31200,5
31300,5
31400,5
31500,5
31600,5
31700,5
31800,5
31900,5
32000,5
32100,7
32200,5
32300,5
32400,5
32500,5
32600,5
32700,5
32800,6
32900,6
33000,6
33100,6
33200,6
33300,6
33400,6
33500,9
33600,6
33700,6
33800,6
33900,6
34000,6
34100,6
34200,6
34300,6
34400,6
34500,6
34600,6
34700,6
34800,6
34900,7
35000,7
35100,6
35200,6
35300,6
35400,6
35500,6
35600,6
35700,6
35800,6
35900,6
36000,6
36100,6
36200,6
36300,6
36400,6
36500,6
36600,6
36700,6
36800,6
36900,6
37000,6
37100,6
37200,6
37300,6
37400,6
37500,6
37600,6
37700,6
37800,6
37900,6
38000,8
38100,6
38200,6
38300,6
38400,6
38500,6
38600,7
38700,7
38800,7
38900,7
39000,7
39100,7
39200,7
39300,7
39400,7
39500,7
39600,7
39700,7
39800,7
39900,7
40000,7
40100,7
40200,7
40300,7
40400,7
40500,7
40600,7
40700,7
40800,7
40900,9
41000,7
41100,7
41200,7
41300,7
41400,7
41500,7
41600,7
41700,7
41800,7
41900,7
42000,7
42100,7
42200,7
42300,7
42400,7
42500,8
42600,8
42700,8
42800,8
42900,8
43000,8
43100,8
43200,10
43300,8
43400,8
43500,8
43600,8
43700,8
43800,8
43900,8
44000,8
44100,8
44200,8
44300,8
44400,8
44500,8
44600,8
44700,8
44800,8
44900,9
45000,9
45100,9
45200,9
45300,9
45400,9
45500,11
45600,9
45700,9
45800,9
45900,9
46000,9
46100,9
46200,9
46300,9
46400,9
46500,9
46600,9
46700,9
46800,9
46900,9
47000,9
47100,9
47200,9
47300,9
47400,9
47500,11
47600,9
47700,9
47800,9
47900,9
48000,9
48100,9
48200,9
48300,9
48400,9
48500,9
48600,9
48700,9
48800,9
48900,9
49000,9
49100,9
49200,9
49300,13
49400,9
49500,9
49600,9
49700,9
49800,9
49900,10
50000,10
50100,10
50200,10
50300,10
50400,10
50500,10
50600,10
50700,10
50800,10
50900,10
51000,10
51100,10
51200,10
51300,12
51400,10
51500,10
51600,10
51700,10
51800,10
51900,10
52000,10
52100,10
52200,10
52300,10
52400,10
52500,10
52600,10
52700,10
52800,10
52900,10
53000,12
53100,10
53200,10
53300,10
53400,10
53500,10
53600,10
53700,10
53800,10
53900,10
54000,10
54100,10
54200,10
54300,10
54400,10
54500,10
54600,10
54700,10
54800,10
54900,12
55000,11
55100,10
55200,10
55300,10
55400,11
55500,11
55600,11
55700,11
55800,11
55900,11
56000,11
56100,11
56200,11
56300,11
56400,11
56500,11
56600,11
56700,11
56800,12
56900,11
57000,11
57100,11
57200,11
57300,11
57400,11
57500,11
57600,11
57700,11
57800,11
57900,11
58000,11
58100,11
58200,11
58300,11
58400,12
58500,11
58600,11
58700,11
58800,11
58900,11
59000,11
59100,11
59200,11
59300,11
59400,11
59500,11
59600,11
59700,11
59800,11
59900,11
60000,11
60100,13
60200,11
60300,11
60400,11
60500,11
60600,11
60700,11
