size,time_ms
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0
2900,0
3000,0
3100,0
3200,0
3300,0
3400,0
3500,0
3600,1
3700,1
3800,1
3900,1
4000,1
4100,1
4200,1
4300,1
4400,1
4500,1
4600,1
4700,1
4800,1
4900,1
5000,1
5100,1
5200,1
5300,1
5400,1
5500,1
5600,1
5700,1
5800,1
5900,1
6000,1
6100,1
6200,1
6300,1
6400,1
6500,2
6600,2
6700,2
6800,2
6900,2
7000,2
7100,2
7200,2
7300,2
7400,2
7500,3
7600,2
7700,2
7800,2
7900,2
8000,2
8100,2
8200,2
8300,2
8400,2
8500,2
8600,2
8700,2
8800,2
8900,2
9000,2
9100,2
9200,2
9300,2
9400,2
9500,2
9600,3
9700,3
9800,2
9900,3
10000,3
10100,3
10200,5
10300,3
10400,3
10500,3
10600,3
10700,3
10800,3
10900,3
11000,3
11100,3
11200,3
11300,3
11400,3
11500,3
11600,3
11700,3
11800,3
11900,3
12000,3
12100,3
12200,3
12300,3
12400,3
12500,3
12600,3
12700,3
12800,4
12900,4
13000,4
13100,4
13200,4
13300,4
13400,4
13500,4
13600,4
13700,4
13800,4
13900,4
14000,4
14100,4
14200,4
14300,4
14400,5
14500,4
14600,8
14700,4
14800,4
14900,4
15000,4
15100,5
15200,4
15300,4
15400,5
15500,5
15600,5
15700,5
15800,5
15900,5
16000,5
16100,5
16200,5
16300,5
16400,5
16500,5
16600,5
16700,5
16800,5
16900,5
17000,5
17100,5
17200,5
17300,5
17400,5
17500,5
17600,5
17700,5
17800,6
17900,5
18000,5
18100,5
18200,6
18300,11
18400,5
18500,5
18600,6
18700,6
18800,6
18900,6
19000,6
19100,6
19200,6
19300,6
19400,6
19500,6
19600,6
19700,6
19800,6
19900,6
20000,6
20100,6
20200,6
20300,6
20400,6
20500,6
20600,6
20700,6
20800,6
20900,10
21000,9
21100,6
21200,6
21300,7
21400,7
21500,7
21600,7
21700,7
21800,7
21900,7
22000,7
22100,7
22200,7
22300,7
22400,7
22500,7
22600,7
22700,7
22800,7
22900,8
23000,8
23100,7
23200,7
23300,11
23400,12
23500,12
23600,8
23700,8
23800,8
23900,8
24000,8
24100,8
24200,8
24300,8
24400,8
24500,8
24600,8
24700,8
24800,8
24900,8
25000,8
25100,8
25200,8
25300,8
25400,8
25500,8
25600,8
25700,11
25800,9
25900,8
26000,8
26100,9
26200,9
26300,9
26400,9
26500,9
26600,9
26700,9
26800,9
26900,9
27000,9
27100,9
27200,9
27300,9
27400,9
27500,9
27600,9
27700,12
27800,9
27900,9
28000,9
28100,9
28200,9
28300,9
28400,9
28500,9
28600,9
28700,9
28800,10
28900,10
29000,10
29100,10
29200,10
29300,9
29400,10
29500,10
29600,10
29700,13
29800,10
29900,10
30000,10
30100,10
30200,10
30300,10
30400,10
30500,10
30600,10
30700,10
30800,10
30900,10
31000,10
31100,10
31200,10
31300,10
31400,13
31500,10
31600,10
31700,10
31800,11
31900,11
32000,11
32100,11
32200,11
32300,11
32400,11
32500,11
32600,11
32700,11
32800,11
32900,11
33000,11
33100,11
33200,11
33300,11
33400,13
33500,11
33600,11
33700,11
33800,11
33900,11
34000,11
34100,11
34200,11
34300,11
34400,11
34500,11
34600,12
34700,11
34800,11
34900,14
35000,12
35100,12
35200,12
35300,12
35400,12
35500,12
35600,13
35700,12
35800,12
35900,12
36000,12
36100,12
36200,12
36300,12
36400,12
36500,21
36600,12
36700,12
36800,13
36900,12
37000,12
37100,12
37200,13
37300,13
37400,13
37500,13
37600,13
37700,13
37800,18
37900,13
38000,13
38100,13
38200,14
38300,13
38400,13
38500,13
38600,13
38700,13
38800,13
38900,13
39000,13
39100,13
39200,13
39300,17
39400,17
39500,13
39600,13
39700,13
39800,13
39900,13
40000,14
40100,14
40200,14
40300,14
40400,14
40500,14
40600,18
40700,14
40800,14
40900,14
41000,14
41100,14
41200,14
41300,14
41400,14
41500,14
41600,14
41700,15
41800,14
41900,20
42000,16
42100,14
42200,14
42300,14
42400,15
42500,15
42600,15
42700,14
42800,15
42900,14
43000,14
43100,18
43200,15
43300,15
43400,15
43500,15
43600,15
43700,15
43800,15
43900,15
44000,15
44100,15
44200,15
44300,15
44400,15
44500,19
44600,15
44700,15
44800,15
44900,15
45000,15
45100,15
45200,15
45300,15
45400,15
45500,15
45600,20
45700,16
45800,16
45900,16
46000,16
46100,16
46200,16
46300,16
46400,16
46500,16
46600,16
46700,22
46800,21
46900,16
47000,16
47100,16
47200,16
47300,16
47400,16
47500,16
47600,16
47700,16
47800,21
47900,17
48000,17
48100,17
48200,17
48300,17
48400,17
48500,17
48600,17
48700,17
48800,17
48900,17
49000,21
49100,17
49200,17
49300,17
49400,17
49500,17
49600,17
49700,17
49800,17
49900,17
50000,18
50100,21
50200,17
50300,17
50400,18
50500,17
50600,18
50700,18
50800,18
50900,18
51000,18
51100,18
51200,22
51300,18
51400,18
51500,18
51600,18
51700,18
51800,18
51900,18
52000,18
52100,23
52200,18
52300,18
52400,18
52500,18
52600,19
52700,18
52800,18
52900,19
53000,19
53100,19
53200,28
53300,20
53400,19
53500,19
53600,19
53700,19
53800,19
53900,19
54000,19
54100,22
54200,19
54300,19
54400,19
54500,19
54600,19
54700,19
54800,19
54900,19
55000,19
55100,26
55200,24
55300,20
55400,20
55500,19
55600,19
55700,19
55800,19
55900,20
56000,24
56100,20
56200,20
56300,20
56400,20
56500,20
56600,20
56700,20
56800,20
56900,20
57000,28
57100,24
57200,20
57300,20
57400,20
57500,20
57600,23
57700,21
57800,24
57900,20
58000,20
58100,20
58200,21
58300,21
58400,21
58500,21
58600,21
58700,21
58800,26
58900,21
59000,21
59100,21
59200,21
59300,21
59400,21
59500,21
59600,25
59700,21
59800,21
59900,21
60000,21
60100,21
60200,21
60300,21
60400,21
60500,21
60600,26
60700,22
